cases1,cases2,cases3,cases4,cases5,cases6,Y
1,1,1,1,2,2,2
1,1,1,2,2,2,2
1,1,2,2,2,2,3
1,2,2,2,2,3,8
2,2,2,2,3,8,13
2,2,2,3,8,13,13
2,2,3,8,13,13,25
2,3,8,13,13,25,25
3,8,13,13,25,25,34
8,13,13,25,25,34,52
13,13,25,25,34,52,77
13,25,25,34,52,77,98
25,25,34,52,77,98,121
25,34,52,77,98,121,200
34,52,77,98,121,200,234
52,77,98,121,200,234,291
77,98,121,200,234,291,428
98,121,200,234,291,428,621
121,200,234,291,428,621,904
200,234,291,428,621,904,1128
234,291,428,621,904,1128,1546
291,428,621,904,1128,1546,1891
428,621,904,1128,1546,1891,2201
621,904,1128,1546,1891,2201,2433
904,1128,1546,1891,2201,2433,2915
1128,1546,1891,2201,2433,2915,3417
1546,1891,2201,2433,2915,3417,3904
1891,2201,2433,2915,3417,3904,4256
2201,2433,2915,3417,3904,4256,4579
2433,2915,3417,3904,4256,4579,5717
2915,3417,3904,4256,4579,5717,6836
3417,3904,4256,4579,5717,6836,7910
3904,4256,4579,5717,6836,7910,9056
4256,4579,5717,6836,7910,9056,10278
4579,5717,6836,7910,9056,10278,11130
5717,6836,7910,9056,10278,11130,12056
6836,7910,9056,10278,11130,12056,13717
7910,9056,10278,11130,12056,13717,15927
9056,10278,11130,12056,13717,15927,17857
10278,11130,12056,13717,15927,17857,19638
11130,12056,13717,15927,17857,19638,20727
12056,13717,15927,17857,19638,20727,22169
13717,15927,17857,19638,20727,22169,23430
15927,17857,19638,20727,22169,23430,25262
17857,19638,20727,22169,23430,25262,28320
19638,20727,22169,23430,25262,28320,30425
20727,22169,23430,25262,28320,30425,33682
22169,23430,25262,28320,30425,33682,36599
23430,25262,28320,30425,33682,36599,38654
25262,28320,30425,33682,36599,38654,40581
28320,30425,33682,36599,38654,40581,43079
30425,33682,36599,38654,40581,43079,45757
33682,36599,38654,40581,43079,45757,49492
36599,38654,40581,43079,45757,49492,52995
